City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
346,Hasaki,JP,66.29,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
347,Turinsk,RU,27.82,few clouds,58.0458,63.696,hotel Arthur
348,Morgan City,US,76.01,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
349,Chegdomyn,RU,31.6,overcast clouds,51.1167,133.0167,Gostinitsa Bureya
351,Guerrero Negro,MX,63.01,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
352,Malmesbury,ZA,58.78,broken clouds,-33.4608,18.7271,SuNel's Guest Rooms
353,Huarmey,PE,67.3,clear sky,-10.0681,-78.1522,Hotel Miramar
354,Coihaique,CL,54.21,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
355,Gondanglegi,ID,81.72,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
357,Bucerias,MX,77.99,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
358,Rayachoti,IN,79.43,few clouds,14.05,78.75,Swetha lodge
359,Chifeng,CN,53.29,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
360,Phalaborwa,ZA,62.67,light rain,-23.943,31.1411,Bothabelo Bed and Breakfast
361,Roma,US,37.96,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
362,Tahta,EG,85.35,overcast clouds,26.7693,31.5021,فندق الزيات
363,Richards Bay,ZA,63.43,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
364,Strezhevoy,RU,17.38,overcast clouds,60.7333,77.5889,Sibiryachka
366,Combita,CO,52.54,overcast clouds,5.6333,-73.3167,Hotel Rural Casa Peraffan
368,Patnagarh,IN,83.43,clear sky,20.7167,83.15,VISHAL STUDIO
369,Muros,ES,57.83,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
370,Westport,US,45.75,clear sky,41.1415,-73.3579,The Inn at Longshore
371,Morondava,MG,80.1,clear sky,-20.2833,44.2833,La Case Bambou
372,Kungur,RU,31.48,overcast clouds,57.4368,56.9593,Kungur
373,Tucuman,AR,59.0,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
374,Faya,SA,62.71,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
375,Micco,US,78.1,overcast clouds,27.8806,-80.5003,Seashell Suites Resort
376,Terrace Bay,CA,23.9,overcast clouds,48.7834,-87.1,Drifters Motel & Restaurant
